id,ordernumber,customerid,customername,customeremail,product,category,quantity,price,total,status,paymentstatus,paymentmethod,country,createdat
"17","ORD-E9LRALU7","172","Edmond Carter","Kelli62@yahoo.com","AirPods Pro","Audio","1","233","233","Processing","Paid","PayPal","France","2026-06-22T21:46:56.844Z"
"18","ORD-AEXXSS3V","112","Renee Gutkowski","Alf71@gmail.com","AirPods Pro","Audio","4","252","1008","Delivered","Paid","Cash","Solomon Islands","2026-07-11T07:58:45.994Z"
"19","ORD-ZEGXNP17","165","Meaghan Koss","Dawn60@hotmail.com","iPad Pro","Tablet","3","1303","3909","Delivered","Paid","PayPal","Benin","2026-07-06T15:12:09.936Z"
"20","ORD-YOTAXG4Z","191","Susanna Bayer","Misty42@gmail.com","iPad Pro","Tablet","3","1378","4134","Pending","Paid","PayPal","South Sudan","2026-03-10T05:40:36.844Z"
"21","ORD-D1VLJQPY","183","Stephon Ledner","Ansley_Cassin41@gmail.com","Apple Watch Ultra","Watch","3","771","2313","Delivered","Paid","Credit Card","Tokelau","2026-05-31T07:59:32.823Z"
"22","ORD-USAIQ731","53","Issac Smith","Kylee.Kunde@hotmail.com","Samsung Monitor","Monitor","2","409","818","Delivered","Paid","Credit Card","Saint Vincent and the Grenadines","2026-02-18T00:18:45.760Z"
"23","ORD-Y14GAU51","111","Amanda Braun","Domenico85@hotmail.com","AirPods Pro","Audio","3","271","813","Delivered","Paid","PayPal","Georgia","2026-01-25T16:05:37.040Z"
"24","ORD-9PD6TR3H","37","Shemar Kiehn","Kevin76@yahoo.com","Apple Watch Ultra","Watch","4","731","2924","Processing","Paid","Credit Card","Libyan Arab Jamahiriya","2026-06-27T17:47:18.912Z"
"25","ORD-5DOL70Q5","99","Vernon Kozey-Fahey","David19@gmail.com","iPad Pro","Tablet","4","1246","4984","Pending","Pending","Cash","Sao Tome and Principe","2026-02-25T08:33:18.197Z"
"26","ORD-SLK71TLG","190","Cathrine Farrell","Justen_Wuckert38@yahoo.com","Mechanical Keyboard","Accessories","1","225","225","Processing","Paid","Credit Card","Saint Barthélemy","2026-05-26T10:53:20.463Z"
"27","ORD-CNXY8TRG","55","Mariah Heidenreich","Michael45@hotmail.com","AirPods Pro","Audio","3","228","684","Pending","Pending","Cash","Curaçao","2026-03-22T02:47:15.001Z"
"28","ORD-M1LICXI8","68","Carissa Langworth","Aisha6@gmail.com","Apple Watch Ultra","Watch","3","937","2811","Pending","Paid","Credit Card","Saint Helena","2026-06-19T10:25:47.481Z"
"29","ORD-40SHRNKW","165","Meaghan Koss","Dawn60@hotmail.com","AirPods Pro","Audio","3","258","774","Processing","Paid","Credit Card","Benin","2026-04-14T07:24:18.121Z"
"30","ORD-DQPB8L32","171","Abdul Gutkowski","Reuben.Nikolaus@yahoo.com","iPhone 15 Pro","Phone","2","1225","2450","Delivered","Paid","Credit Card","Greenland","2026-01-11T00:53:37.004Z"
"31","ORD-T79C9WAY","101","Tommie Flatley","Jo.Osinski@hotmail.com","iPhone 15 Pro","Phone","1","969","969","Cancelled","Paid","Credit Card","Brazil","2026-01-02T10:13:52.559Z"
"32","ORD-2MZ2AIEG","59","Tito Bernhard","Cristopher.Bahringer1@hotmail.com","iPhone 15 Pro","Phone","1","1208","1208","Processing","Paid","PayPal","Togo","2026-01-19T12:46:00.117Z"
"33","ORD-5EA7KJBX","108","Fiona Deckow","Marguerite50@yahoo.com","AirPods Pro","Audio","4","240","960","Cancelled","Paid","PayPal","Malaysia","2026-01-07T12:03:03.341Z"
"34","ORD-KJX4ODS4","61","Jesse Heller","Lemuel.Batz@gmail.com","iPad Pro","Tablet","1","1187","1187","Delivered","Paid","Cash","Antarctica","2026-02-10T20:39:12.969Z"
"35","ORD-8ATXOV02","138","Harvey Schneider-Effertz","Laurie.Batz@hotmail.com","MacBook Pro 14","Laptop","1","2200","2200","Delivered","Paid","Cash","Grenada","2026-03-23T13:36:25.358Z"
"36","ORD-UVUD92TA","154","Shawn Hamill","Roxane.Senger12@hotmail.com","AirPods Pro","Audio","1","200","200","Processing","Paid","Credit Card","Uzbekistan","2026-03-12T07:51:26.614Z"
"37","ORD-R1TZYAQ4","74","Jaida Mayer","Beulah.Johnson45@yahoo.com","Apple Watch Ultra","Watch","3","647","1941","Delivered","Paid","PayPal","Somalia","2026-01-22T09:44:56.544Z"
"38","ORD-CP19QE8E","99","Vernon Kozey-Fahey","David19@gmail.com","AirPods Pro","Audio","3","251","753","Delivered","Paid","PayPal","Sao Tome and Principe","2026-03-19T13:34:04.154Z"
"39","ORD-TVDL5E9W","106","Madisyn O'Hara","Schuyler.Wuckert-Lindgren@gmail.com","Samsung Monitor","Monitor","3","519","1557","Delivered","Paid","Credit Card","San Marino","2026-02-12T22:03:40.956Z"
"40","ORD-QVK3Z12E","86","Darla Kub","Augustine4@yahoo.com","MacBook Pro 14","Laptop","2","2342","4684","Delivered","Paid","PayPal","Macao","2026-01-15T23:01:01.834Z"
"41","ORD-6QSJIZV4","83","Shane Bode","Winnifred_Ernser@hotmail.com","Mechanical Keyboard","Accessories","1","161","161","Pending","Pending","PayPal","Norway","2026-04-27T03:47:09.791Z"
"42","ORD-B51CM3O0","177","Amparo Kunde-Adams","Franz66@hotmail.com","iPhone 15 Pro","Phone","1","1311","1311","Delivered","Paid","PayPal","Anguilla","2026-07-16T20:16:08.460Z"
"43","ORD-U9IH31B2","89","Coleman Bahringer","Mona.Kemmer@gmail.com","Apple Watch Ultra","Watch","3","677","2031","Delivered","Paid","PayPal","Dominica","2026-05-28T06:45:59.827Z"
"44","ORD-MN4UI7SA","84","Madie Heathcote","Wayne_Hilll-DuBuque@hotmail.com","iPhone 15 Pro","Phone","2","1393","2786","Delivered","Paid","Cash","Romania","2026-04-08T22:40:30.525Z"
"45","ORD-O90JSYVH","170","Arthur O'Kon","Ana_Wuckert5@yahoo.com","Samsung Monitor","Monitor","4","624","2496","Delivered","Paid","Cash","Ghana","2026-07-11T07:05:06.303Z"
"46","ORD-Q229R9CZ","2","Stewart Rosenbaum","Braxton_Ortiz10@hotmail.com","iPad Pro","Tablet","4","775","3100","Processing","Paid","Credit Card","Kiribati","2026-07-05T21:30:15.921Z"
"47","ORD-S016BPIX","54","Blaise Kreiger","Jerome1@yahoo.com","Apple Watch Ultra","Watch","4","997","3988","Delivered","Paid","Cash","Mozambique","2026-05-09T08:29:49.278Z"
"48","ORD-RZ0O1VRJ","132","Dagmar Johnston","Calvin19@hotmail.com","Mechanical Keyboard","Accessories","1","128","128","Delivered","Paid","Credit Card","Gibraltar","2026-06-17T05:36:40.362Z"
"49","ORD-5G505ZKR","165","Meaghan Koss","Dawn60@hotmail.com","iPad Pro","Tablet","2","1121","2242","Delivered","Paid","PayPal","Benin","2026-03-11T16:27:20.403Z"
"50","ORD-1PNPIDCI","107","Mack Olson","Darryl40@gmail.com","AirPods Pro","Audio","2","250","500","Delivered","Paid","Cash","Israel","2026-04-27T19:33:05.856Z"
"51","ORD-RDSH9FZU","113","Kaela Kirlin","Lydia_Gerhold@gmail.com","Apple Watch Ultra","Watch","1","607","607","Delivered","Paid","PayPal","Armenia","2026-05-04T10:03:34.127Z"
"52","ORD-JWBJ66LK","91","Erling Conroy","Samuel.Kutch@gmail.com","iPhone 15 Pro","Phone","4","1052","4208","Processing","Paid","Cash","Mauritius","2026-02-09T20:05:16.229Z"
"53","ORD-DD4QAXD5","183","Stephon Ledner","Ansley_Cassin41@gmail.com","MacBook Pro 14","Laptop","1","2781","2781","Cancelled","Paid","PayPal","Tokelau","2026-06-08T15:36:15.609Z"
"54","ORD-0JKN3AML","19","Michele Turcotte","Erik_Volkman@yahoo.com","iPhone 15 Pro","Phone","2","1174","2348","Processing","Paid","Credit Card","Jamaica","2026-01-15T07:59:40.979Z"
"55","ORD-9RN9SCJ4","143","Leo Reichert","Kristina.Aufderhar@hotmail.com","MacBook Pro 14","Laptop","2","2025","4050","Pending","Pending","PayPal","Virgin Islands, British","2026-03-08T23:11:55.004Z"
"56","ORD-4JSUIOI1","131","Ezequiel Rau","Mose.Hamill@hotmail.com","AirPods Pro","Audio","4","281","1124","Delivered","Paid","Credit Card","Mauritius","2026-01-23T15:26:17.152Z"
"57","ORD-H2BIZHNU","79","Shaun Bartoletti","Lonnie.Turner@gmail.com","iPhone 15 Pro","Phone","4","938","3752","Delivered","Paid","PayPal","Syrian Arab Republic","2026-01-04T23:07:17.141Z"
"58","ORD-9EIRV0AO","178","Kristina Hauck","Johnathan_Hartmann40@yahoo.com","AirPods Pro","Audio","4","232","928","Pending","Pending","PayPal","Solomon Islands","2026-03-19T12:13:19.308Z"
"59","ORD-Z2JBR84H","120","Doris Rutherford","Freda.Funk18@yahoo.com","AirPods Pro","Audio","1","206","206","Delivered","Paid","Cash","Guernsey","2026-05-02T11:34:01.837Z"
"60","ORD-297ASJC1","182","Grady Lindgren","Martha8@yahoo.com","Apple Watch Ultra","Watch","3","737","2211","Delivered","Paid","Cash","Seychelles","2026-02-21T21:16:20.424Z"
"61","ORD-89YZBDX2","151","Jacky Wolff-Daugherty","Ron_Kub45@gmail.com","Mechanical Keyboard","Accessories","3","87","261","Pending","Paid","PayPal","Montenegro","2026-05-11T12:47:21.630Z"
"62","ORD-78AVXMLV","129","Jordane Gleichner","Dallin59@gmail.com","iPhone 15 Pro","Phone","1","1053","1053","Delivered","Paid","Credit Card","Turks and Caicos Islands","2026-02-16T08:49:11.427Z"
"63","ORD-L9PTTXES","59","Tito Bernhard","Cristopher.Bahringer1@hotmail.com","Samsung Monitor","Monitor","4","542","2168","Delivered","Paid","PayPal","Togo","2026-01-12T21:04:41.139Z"
"64","ORD-KWZ4NLBA","34","Jim Veum","Reynold47@hotmail.com","MacBook Pro 14","Laptop","4","2455","9820","Delivered","Paid","PayPal","Estonia","2026-01-21T15:42:19.873Z"
"65","ORD-0QGTGR9P","170","Arthur O'Kon","Ana_Wuckert5@yahoo.com","Samsung Monitor","Monitor","4","846","3384","Delivered","Paid","Cash","Ghana","2026-04-24T03:16:55.772Z"
"66","ORD-3OOP3JBI","27","Alessia Pacocha","Desiree.Dare@gmail.com","iPhone 15 Pro","Phone","1","1337","1337","Processing","Paid","Cash","Uzbekistan","2026-06-18T23:02:58.236Z"
"67","ORD-VXPMXYXM","158","Domenica Hansen","Mindy.Heidenreich76@hotmail.com","Samsung Monitor","Monitor","4","766","3064","Pending","Pending","Credit Card","Andorra","2026-07-03T18:41:48.318Z"
"68","ORD-VDOUE4LG","112","Renee Gutkowski","Alf71@gmail.com","Apple Watch Ultra","Watch","1","784","784","Delivered","Paid","Credit Card","Solomon Islands","2026-07-04T23:59:20.536Z"
"69","ORD-CCK2ZZ61","93","Belinda Stracke","Daisy_Wunsch40@yahoo.com","iPad Pro","Tablet","4","1134","4536","Processing","Paid","PayPal","Uzbekistan","2026-05-14T05:54:36.985Z"
"70","ORD-UGXA34DM","48","Cecelia Walter","Watson34@yahoo.com","MacBook Pro 14","Laptop","1","2478","2478","Cancelled","Failed","Cash","Moldova","2026-06-08T09:35:20.030Z"
"71","ORD-3UZ1DZCA","76","Lawrence Kutch","Beatrice66@gmail.com","MacBook Pro 14","Laptop","3","2309","6927","Pending","Paid","Cash","Spain","2026-05-13T20:20:19.640Z"
"72","ORD-RD5PI753","187","Marjorie Reilly","Nicole_Herzog@yahoo.com","iPad Pro","Tablet","1","1308","1308","Pending","Pending","PayPal","Morocco","2026-04-19T23:24:03.976Z"
"73","ORD-R5BFIFXN","155","Enrique Welch","Bob.Schneider@yahoo.com","AirPods Pro","Audio","3","220","660","Delivered","Paid","Cash","Côte d'Ivoire","2026-01-20T02:53:11.194Z"
"74","ORD-CGH4YKQR","22","Lavonne Graham","Ewald_Ledner@hotmail.com","iPhone 15 Pro","Phone","4","1267","5068","Processing","Paid","Cash","French Guiana","2026-05-12T14:40:39.365Z"
"75","ORD-Z1D7IE5J","33","Ben Bauch-Kuphal","Vicki42@hotmail.com","Samsung Monitor","Monitor","2","796","1592","Pending","Paid","PayPal","Thailand","2026-04-04T11:58:06.083Z"
"76","ORD-7TY84T0N","147","Leigh Stamm","Charley_Romaguera@hotmail.com","Apple Watch Ultra","Watch","1","740","740","Processing","Paid","Cash","Falkland Islands (Malvinas)","2026-02-08T20:08:18.357Z"
"77","ORD-O37H44V1","163","Camille Kuhic","Kraig7@yahoo.com","MacBook Pro 14","Laptop","4","2302","9208","Delivered","Paid","Credit Card","South Georgia and the South Sandwich Islands","2026-06-29T19:18:46.384Z"
"78","ORD-HMAHHJJP","151","Jacky Wolff-Daugherty","Ron_Kub45@gmail.com","iPad Pro","Tablet","4","1137","4548","Processing","Paid","Cash","Montenegro","2026-03-26T08:12:11.049Z"
"79","ORD-GMWUMDHZ","2","Stewart Rosenbaum","Braxton_Ortiz10@hotmail.com","Apple Watch Ultra","Watch","2","881","1762","Processing","Paid","Cash","Kiribati","2026-04-26T13:29:57.403Z"
"80","ORD-8ZR1CL6N","122","Louis Rodriguez","Alysa_Goyette@gmail.com","MacBook Pro 14","Laptop","3","1860","5580","Delivered","Paid","Cash","Myanmar","2026-06-07T06:42:09.390Z"
"81","ORD-EO31ZHE2","103","Lavon Wiegand","Wilfred_Volkman34@yahoo.com","MacBook Pro 14","Laptop","4","2009","8036","Delivered","Paid","Cash","Mali","2026-05-28T21:12:10.341Z"
"82","ORD-VHXVFGHI","134","Alberta Swaniawski","Seth79@hotmail.com","Mechanical Keyboard","Accessories","3","173","519","Cancelled","Failed","PayPal","Burundi","2026-03-16T23:30:16.368Z"
"83","ORD-KDGL6GVH","36","Tabitha Buckridge","Buddy58@yahoo.com","iPhone 15 Pro","Phone","1","1040","1040","Delivered","Paid","Cash","Iran","2026-05-20T11:54:28.148Z"
"84","ORD-YFATMW2Q","182","Grady Lindgren","Martha8@yahoo.com","Samsung Monitor","Monitor","2","617","1234","Pending","Paid","Cash","Seychelles","2026-02-15T14:28:07.027Z"
"85","ORD-MX7AMUZ6","54","Blaise Kreiger","Jerome1@yahoo.com","MacBook Pro 14","Laptop","1","1842","1842","Processing","Paid","PayPal","Mozambique","2026-07-08T21:55:36.406Z"
"86","ORD-6730UX2U","124","Seth Breitenberg","Branson.Runte58@gmail.com","iPad Pro","Tablet","1","762","762","Delivered","Paid","PayPal","Mexico","2026-01-06T23:49:39.583Z"
"87","ORD-ZQVGBF9K","77","Lane Lindgren","Fredy35@yahoo.com","Samsung Monitor","Monitor","4","636","2544","Delivered","Paid","PayPal","Japan","2026-03-06T13:37:59.339Z"
"88","ORD-8KY8IZXA","178","Kristina Hauck","Johnathan_Hartmann40@yahoo.com","Mechanical Keyboard","Accessories","3","89","267","Processing","Paid","Credit Card","Solomon Islands","2026-04-29T19:45:09.917Z"
"89","ORD-2FO993ZK","199","Tyrone Hills-Tremblay","Kenya.Prosacco@hotmail.com","MacBook Pro 14","Laptop","2","2167","4334","Processing","Paid","PayPal","South Sudan","2026-04-22T20:46:23.393Z"
"90","ORD-M3IWT5I8","152","Lora Spinka","Everett29@yahoo.com","iPad Pro","Tablet","2","761","1522","Processing","Paid","Credit Card","Côte d'Ivoire","2026-06-09T10:59:43.396Z"
"91","ORD-0BFRY0N2","89","Coleman Bahringer","Mona.Kemmer@gmail.com","Mechanical Keyboard","Accessories","3","85","255","Pending","Pending","Cash","Dominica","2026-06-18T18:57:05.500Z"
"92","ORD-UANSHKOL","22","Lavonne Graham","Ewald_Ledner@hotmail.com","MacBook Pro 14","Laptop","4","2539","10156","Pending","Paid","Cash","French Guiana","2026-04-28T14:39:03.355Z"
"93","ORD-9DX260SD","96","Felicity Howe","Oral75@gmail.com","AirPods Pro","Audio","1","296","296","Delivered","Paid","PayPal","Saint Helena","2026-03-28T13:47:11.644Z"
"94","ORD-U2XABVCD","4","Ted Zemlak","Bertrand.Davis24@gmail.com","Samsung Monitor","Monitor","3","857","2571","Delivered","Paid","Credit Card","Belarus","2026-07-21T21:50:53.171Z"
"95","ORD-2995KBXK","56","Samanta Grimes","Albin.Fritsch@yahoo.com","iPhone 15 Pro","Phone","1","1030","1030","Delivered","Paid","PayPal","Slovenia","2026-01-31T22:33:00.599Z"
"96","ORD-BLJ753OT","76","Lawrence Kutch","Beatrice66@gmail.com","Apple Watch Ultra","Watch","1","632","632","Delivered","Paid","Cash","Spain","2026-03-11T14:01:03.704Z"
"97","ORD-EFCHO6PB","29","Kathy Cartwright","Jayme_Walker34@yahoo.com","Apple Watch Ultra","Watch","3","859","2577","Processing","Paid","Cash","Uruguay","2026-05-31T17:52:58.136Z"
"98","ORD-S1G8MXCD","192","Bennie Harvey","Fred_Nikolaus@gmail.com","Mechanical Keyboard","Accessories","3","184","552","Delivered","Paid","Credit Card","Nicaragua","2026-03-26T15:59:21.062Z"
"99","ORD-H551BRV0","112","Renee Gutkowski","Alf71@gmail.com","iPhone 15 Pro","Phone","4","1406","5624","Delivered","Paid","PayPal","Solomon Islands","2026-05-10T02:27:20.187Z"
"100","ORD-ZAG6JF9D","23","Leroy Beatty","Americo10@yahoo.com","iPad Pro","Tablet","3","1298","3894","Delivered","Paid","Cash","Timor-Leste","2026-03-29T19:01:29.846Z"
"101","ORD-ZE9Y1Y3P","133","Jeff Erdman","Deven.OReilly@yahoo.com","Apple Watch Ultra","Watch","3","940","2820","Pending","Pending","Credit Card","Venezuela","2026-06-21T09:51:31.005Z"
"102","ORD-Y57I3LR6","152","Lora Spinka","Everett29@yahoo.com","AirPods Pro","Audio","4","216","864","Pending","Pending","Cash","Côte d'Ivoire","2026-01-24T03:23:48.628Z"
"103","ORD-J78TXW2O","21","Winona Grady","Antwon14@gmail.com","Mechanical Keyboard","Accessories","2","133","266","Pending","Pending","PayPal","Tanzania","2026-03-24T21:10:52.249Z"
"104","ORD-EC2UEQWF","148","Anthony Ebert-Franey","Helen_Swift@gmail.com","MacBook Pro 14","Laptop","3","2362","7086","Delivered","Paid","PayPal","Uruguay","2026-02-21T03:29:56.253Z"
"105","ORD-DCW429M6","105","Ilene Schoen","Sergio_Spencer42@gmail.com","Apple Watch Ultra","Watch","3","917","2751","Processing","Paid","Credit Card","Puerto Rico","2026-06-24T17:43:35.793Z"
"106","ORD-IVAZBFB7","198","Caroline Langworth","Destany_Casper5@gmail.com","AirPods Pro","Audio","2","293","586","Cancelled","Paid","PayPal","Italy","2026-01-25T11:43:15.448Z"
"107","ORD-4Y85QSNK","191","Susanna Bayer","Misty42@gmail.com","MacBook Pro 14","Laptop","3","2239","6717","Processing","Paid","Cash","South Sudan","2026-01-01T14:53:43.628Z"
"108","ORD-WM1XEVGM","59","Tito Bernhard","Cristopher.Bahringer1@hotmail.com","Samsung Monitor","Monitor","2","722","1444","Processing","Paid","Cash","Togo","2026-05-30T12:43:25.637Z"
"109","ORD-JC5ZJAU0","29","Kathy Cartwright","Jayme_Walker34@yahoo.com","Samsung Monitor","Monitor","1","532","532","Processing","Paid","Credit Card","Uruguay","2026-03-22T23:15:57.946Z"
"110","ORD-2G84T5AW","109","Chelsey Wuckert","Robert_Emmerich@gmail.com","Apple Watch Ultra","Watch","2","662","1324","Pending","Pending","Cash","Sint Maarten","2026-06-10T20:58:58.998Z"
"111","ORD-HIHAYSN9","88","Irma Thiel-Schultz","Dion.Pfeffer97@gmail.com","iPad Pro","Tablet","1","776","776","Processing","Paid","Cash","Egypt","2026-07-24T17:31:16.537Z"
"112","ORD-E8XSK4H5","20","Levi Feil-Miller","Anabelle13@yahoo.com","Mechanical Keyboard","Accessories","3","88","264","Pending","Pending","PayPal","Bhutan","2026-04-21T05:23:27.190Z"
"113","ORD-EAL4QR61","86","Darla Kub","Augustine4@yahoo.com","Apple Watch Ultra","Watch","1","640","640","Processing","Paid","Cash","Macao","2026-03-16T09:01:11.063Z"
"114","ORD-WPC9W4WK","199","Tyrone Hills-Tremblay","Kenya.Prosacco@hotmail.com","Mechanical Keyboard","Accessories","3","82","246","Delivered","Paid","PayPal","South Sudan","2026-04-05T08:35:05.112Z"
"115","ORD-9RAI1NZW","64","Serena Swaniawski","Beverly_Langosh33@hotmail.com","MacBook Pro 14","Laptop","2","2473","4946","Processing","Paid","Credit Card","Jersey","2026-02-04T12:32:54.647Z"
"116","ORD-732PZ6MB","93","Belinda Stracke","Daisy_Wunsch40@yahoo.com","iPad Pro","Tablet","3","863","2589","Cancelled","Failed","Credit Card","Uzbekistan","2026-01-05T04:58:12.536Z"
"117","ORD-7HLDE0LV","180","Mack Kautzer","Rachael.Moen-Gusikowski89@hotmail.com","MacBook Pro 14","Laptop","1","2344","2344","Delivered","Paid","Credit Card","Guinea-Bissau","2026-02-23T01:26:49.350Z"
"118","ORD-S9UHBN8Y","172","Edmond Carter","Kelli62@yahoo.com","iPhone 15 Pro","Phone","2","1036","2072","Delivered","Paid","Cash","France","2026-07-18T04:05:23.056Z"
"119","ORD-6CLA0GTW","23","Leroy Beatty","Americo10@yahoo.com","iPhone 15 Pro","Phone","1","1408","1408","Delivered","Paid","Cash","Timor-Leste","2026-07-26T09:34:24.492Z"
"120","ORD-DSI4RZRV","159","Gino Hackett","Kareem.Fadel@hotmail.com","Mechanical Keyboard","Accessories","1","85","85","Processing","Paid","PayPal","Pakistan","2026-05-25T12:44:23.749Z"
"121","ORD-LLX3MJBD","94","Kattie Koch","Glenn53@gmail.com","iPad Pro","Tablet","2","980","1960","Delivered","Paid","Cash","Saint Helena","2026-04-28T12:09:20.444Z"
"122","ORD-GHZ18CMV","106","Madisyn O'Hara","Schuyler.Wuckert-Lindgren@gmail.com","MacBook Pro 14","Laptop","3","2704","8112","Pending","Pending","Cash","San Marino","2026-05-20T11:41:32.155Z"
"123","ORD-TN2M2DX8","11","Hattie Watsica","Dorothy79@yahoo.com","Apple Watch Ultra","Watch","3","953","2859","Pending","Pending","Credit Card","Kyrgyz Republic","2026-06-12T09:47:03.610Z"
"124","ORD-ZMDE5AY0","100","Carlton Stroman","Angela.Walter@hotmail.com","AirPods Pro","Audio","1","278","278","Delivered","Paid","Credit Card","Greece","2026-04-29T19:56:32.405Z"
"125","ORD-UHKN788H","191","Susanna Bayer","Misty42@gmail.com","MacBook Pro 14","Laptop","1","2379","2379","Processing","Paid","Credit Card","South Sudan","2026-07-10T02:10:19.331Z"
"126","ORD-53BP46VH","39","Joana Heller","German7@yahoo.com","iPad Pro","Tablet","1","1132","1132","Delivered","Paid","Cash","Hungary","2026-04-24T23:11:06.883Z"
"127","ORD-ER87ZXZ9","15","Mindy Schoen","Debra_Johnston58@yahoo.com","Samsung Monitor","Monitor","3","841","2523","Pending","Pending","Credit Card","Eritrea","2026-03-14T04:34:12.652Z"
"128","ORD-MVPI2X3M","29","Kathy Cartwright","Jayme_Walker34@yahoo.com","Mechanical Keyboard","Accessories","4","103","412","Delivered","Paid","Credit Card","Uruguay","2026-06-24T03:49:03.768Z"
"129","ORD-SGVISYVE","148","Anthony Ebert-Franey","Helen_Swift@gmail.com","Apple Watch Ultra","Watch","2","932","1864","Delivered","Paid","Cash","Uruguay","2026-04-20T19:56:05.087Z"
"130","ORD-23V21EX1","80","Pablo Marquardt","Cindy.Pouros@gmail.com","iPad Pro","Tablet","4","1313","5252","Processing","Paid","Cash","Netherlands","2026-02-04T00:59:43.484Z"
"131","ORD-6P2RZ3NE","179","Emil Pfeffer","Carolyn50@hotmail.com","Apple Watch Ultra","Watch","3","804","2412","Delivered","Paid","Cash","China","2026-07-10T04:03:32.462Z"
"132","ORD-JMPA2OOD","78","Sabryna Daugherty","Hugo18@gmail.com","AirPods Pro","Audio","2","213","426","Delivered","Paid","Cash","Fiji","2026-03-28T00:51:23.259Z"
"133","ORD-9LUON16N","168","Hilbert Douglas","Janet.Bergnaum@hotmail.com","iPhone 15 Pro","Phone","2","1419","2838","Processing","Paid","Cash","Bangladesh","2026-07-24T03:45:09.624Z"
"134","ORD-P7H9K14R","67","Valerie Emard","Ashley26@hotmail.com","iPad Pro","Tablet","2","1349","2698","Pending","Pending","PayPal","Norway","2026-06-05T04:33:34.444Z"
"135","ORD-D38AZUVO","35","Rochelle Schumm-Kunze","Agustin_Crist89@yahoo.com","Samsung Monitor","Monitor","2","430","860","Pending","Pending","Cash","Rwanda","2026-07-26T15:46:05.009Z"
"136","ORD-XVZ97PJP","144","Jan Grimes","Joey.Reynolds@yahoo.com","Samsung Monitor","Monitor","4","492","1968","Processing","Paid","PayPal","Turkey","2026-03-06T20:31:20.767Z"
